Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Al Ahmadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Bahah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Bahr al Ahmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Batnah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Bayda',0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Buhayrah,0.114938774,0.024197637,0.07259291,0.054444682,0.048395273,0.018148227,0.054444682,0.054444682,0.066543501,0.127037592,0.133087001,0.296421049,0.127037592,0.175432865
Al Butnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Dali',0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Dhahira,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Farwaniyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Fayyum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Gharbiyah,0.017093287,0.034186573,0.017093287,0.068373146,0.05127986,0.017093287,0.034186573,0.017093287,0.017093287,0.034186573,0.017093287,0.15383958,0.017093287,0.017093287
Al Ghuwayriyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Hizam Al Akhdar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Hudaydah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Hudud ash Shamaliyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Iskandariyah,0.14396029,0.028792058,0.086376174,0.057584116,0.086376174,0.028792058,0,0.115168232,0,0,0.028792058,0.086376174,0.057584116,0.086376174
Al Isma`iliyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jabal al Akhdar,0.175840794,0.131880595,0.197820893,0.043960198,0.153860695,0.131880595,0.043960198,0,0.021980099,0.065940298,0.109900496,0.087920397,1.714447739,0.043960198
Al Jahrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jawf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jifarah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jizah,0.843312532,0.843312532,0,0,0,0,0,0,0.843312532,0.843312532,0.843312532,1.686625063,0,0
Al Jufrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jumayliyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Khawr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kufrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kuwayt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Madinah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Mahrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Mahwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Marj,0.873705823,0.436852912,1.164941098,0.728088186,1.456176372,0.436852912,0.145617637,0.582470549,0.582470549,0,0.291235274,0.145617637,0,0
Al Marqab,0,2.973535534,0,0,1.486767767,4.460303301,0,0.743383883,0,0,1.486767767,0,0,0
Al Minufiyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Minya,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Qahirah,0,0,0,0,0,0,0,0,0,0,0,14.56027956,0,0
Al Qalyubiyah,0,0,0.185549412,0,0,0.185549412,0.556648235,0.371098824,0,0.185549412,0,0.185549412,0,0
Al Quassim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Qubbah,0.083542189,2.08855472,0.417710944,0.167084378,0.167084378,0,0,0,0,0.083542189,0,0,0.083542189,0
Al Wadi al Jadid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Wahah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Wakrah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Wusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Anbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Basrah,0,0,0,0,0,0,0.808603542,0,0,0,0,0,0,0
Al-Muthannia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Qadisiyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,1.943422229,1.641985579,1.509403575,1.883979062,1.873427021,1.83967148,1.925472767,2.053647095,1.317048654,1.711673019,1.651823159,1.764806945,1.43717705,1.478846622
Alagoas,1.282178851,0.79212066,1.218884671,0.261753167,0.992123408,1.353020305,0.679769202,0.986634482,0.623164651,1.123857637,0.46587261,1.002243616,0.325218877,0.308237511
Alajuela,0.60958572,0.646981825,0.529972919,0.235186439,0.297415894,0.470080721,0.463507187,0.883921206,0.619372982,0.797150557,0.329261014,0.225399177,0.1633158,0.281639413
